dataset,formalism,rank,selected_fewshot,distance
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,1,fsm_01.json,11.472682
PipedInputStream_UnconnectedRead,fsm,1,fsm_04.json,6.340138
PipedOutputStream_UnconnectedWrite,fsm,1,fsm_04.json,6.340138
StreamTokenizer_AccessInvalidField,fsm,1,fsm_01.json,9.878852
ShutdownHook_PrematureStart,fsm,1,fsm_02.json,8.217535
ShutdownHook_SystemExit,fsm,1,fsm_03.json,2.367561
ShutdownHook_UnsafeAWTCall,fsm,1,fsm_03.json,2.367561
ShutdownHook_UnsafeSwingCall,fsm,1,fsm_03.json,5.655938
Socket_SetTimeoutBeforeBlockingInput,fsm,1,fsm_05.json,2.655693
Socket_SetTimeoutBeforeBlockingOutput,fsm,1,fsm_05.json,2.655693
Arrays_SortBeforeBinarySearch,fsm,1,fsm_05.json,8.057143
Collections_SortBeforeBinarySearch,fsm,1,fsm_05.json,8.057143
ListIterator_hasNextPrevious,fsm,1,fsm_01.json,0.000000
