id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,openAI,gpt-4o,structural,one,1,lang,ere,1774461002.6449547,1774461010.2702038,7625.249
ArrayDeque_UnsafeIterator,openAI,gpt-4o,structural,one,1,util,ere,1774461010.292214,1774461021.2665534,10974.339
BufferedInputStream_SynchronizedFill,openAI,gpt-4o,structural,one,1,io,ere,1774461021.3086486,1774461025.7624197,4453.771
Closeable_MultipleClose,openAI,gpt-4o,structural,one,1,io,ere,1774461025.7894425,1774461029.0585365,3269.094
Collections_SynchronizedCollection,openAI,gpt-4o,structural,one,1,util,ere,1774461029.0810556,1774461038.969389,9888.333
Collection_UnsynchronizedAddAll,openAI,gpt-4o,structural,one,1,util,ere,1774461039.012677,1774461047.8490918,8836.415
Console_CloseReader,openAI,gpt-4o,structural,one,1,io,ere,1774461047.8909347,1774461053.3065288,5415.594
Dictionary_Obsolete,openAI,gpt-4o,structural,one,1,util,ere,1774461053.3290782,1774461056.5067427,3177.665
HttpURLConnection_SetBeforeConnect,openAI,gpt-4o,structural,one,1,net,ere,1774461056.5293603,1774461073.9183412,17388.981
InputStream_MarkAfterClose,openAI,gpt-4o,structural,one,1,io,ere,1774461073.962927,1774461079.922424,5959.497
Iterator_RemoveOnce,openAI,gpt-4o,structural,one,1,util,ere,1774461079.9482412,1774461084.927231,4978.99
List_UnsynchronizedSubList,openAI,gpt-4o,structural,one,1,util,ere,1774461084.9528723,1774461094.9561536,10003.281
Map_CollectionViewAdd,openAI,gpt-4o,structural,one,1,util,ere,1774461094.9916644,1774461101.4776995,6486.035
Map_UnsynchronizedAddAll,openAI,gpt-4o,structural,one,1,util,ere,1774461101.5080042,1774461110.115082,8607.078
Math_ContendedRandom,openAI,gpt-4o,structural,one,1,lang,ere,1774461110.160591,1774461117.0792236,6918.633
OutputStream_ManipulateAfterClose,openAI,gpt-4o,structural,one,1,io,ere,1774461117.1092231,1774461124.671486,7562.263
Properties_ManipulateAfterLoad,openAI,gpt-4o,structural,one,1,util,ere,1774461124.7064226,1774461133.787635,9081.213
Reader_ReadAheadLimit,openAI,gpt-4o,structural,one,1,io,ere,1774461133.8211555,1774461151.1460845,17324.929
Scanner_ManipulateAfterClose,openAI,gpt-4o,structural,one,1,util,ere,1774461151.1808298,1774461163.9375749,12756.745
SecurityManager_Permission,openAI,gpt-4o,structural,one,1,lang,ere,1774461163.9737422,1774461171.0308805,7057.138
ServerSocket_ReuseAddress,openAI,gpt-4o,structural,one,1,net,ere,1774461171.064253,1774461178.2150397,7150.787
ServiceLoaderIterator_Remove,openAI,gpt-4o,structural,one,1,util,ere,1774461178.2327263,1774461185.6470773,7414.351
SocketImpl_CloseOutput,openAI,gpt-4o,structural,one,1,net,ere,1774461185.671534,1774461192.3762684,6704.734
Socket_CloseInput,openAI,gpt-4o,structural,one,1,net,ere,1774461192.4083166,1774461201.4535384,9045.222
Socket_OutputStreamUnavailable,openAI,gpt-4o,structural,one,1,net,ere,1774461201.4863338,1774461215.4004707,13914.137
StrictMath_ContendedRandom,openAI,gpt-4o,structural,one,1,lang,ere,1774461215.4847336,1774461221.6698232,6185.09
Thread_SetDaemonBeforeStart,openAI,gpt-4o,structural,one,1,lang,ere,1774461221.6969469,1774461227.1397579,5442.811
URLConnection_Connect,openAI,gpt-4o,structural,one,1,net,ere,1774461227.1656067,1774461238.0406337,10875.027
URLConnection_SetBeforeConnect,openAI,gpt-4o,structural,one,1,net,ere,1774461238.0709279,1774461249.119297,11048.369
Writer_ManipulateAfterClose,openAI,gpt-4o,structural,one,1,io,ere,1774461249.1680207,1774461259.677483,10509.462
